epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.537052,1.34613,4.60122,1.43781,0,0,0,0,1.43003,4.72355,1.46277,0,0,0
2,1.14976,1.5636,4.44172,1.60327,0,0,0,0,1.43149,4.73217,1.47027,6.24381e-06,6.24381e-06,6.24381e-06
3,1.80436,1.44342,4.70458,1.5211,0,0,0,0,1.46168,4.71877,1.47833,1.24753e-05,1.24753e-05,1.24753e-05
4,2.40029,1.35818,4.62122,1.44035,0,0,0,0,1.44342,4.72011,1.46831,1.86943e-05,1.86943e-05,1.86943e-05
5,3.02616,1.33121,4.81611,1.27127,0,0,0,0,1.38901,4.6957,1.41888,2.4901e-05,2.4901e-05,2.4901e-05
6,3.60979,1.58821,4.80913,1.2731,0,0,0,0,1.34502,4.66323,1.36425,3.10953e-05,3.10953e-05,3.10953e-05
7,4.16465,1.33975,4.24197,1.31974,0,0,0,0,1.30993,4.64124,1.33971,3.72772e-05,3.72772e-05,3.72772e-05
8,4.72847,1.5636,4.83081,1.24578,0,0,0,0,1.25001,4.57563,1.26633,4.34468e-05,4.34468e-05,4.34468e-05
9,5.30162,1.22897,4.69393,1.30928,0,0,0,0,1.22262,4.52226,1.2161,4.9604e-05,4.9604e-05,4.9604e-05
10,6.08554,1.15583,4.27156,1.18748,0,0,0,0,1.17236,4.47395,1.17295,5.57488e-05,5.57488e-05,5.57488e-05
11,6.83598,1.64821,4.82434,1.24888,0,0,0,0,1.12688,4.42762,1.12111,6.18813e-05,6.18813e-05,6.18813e-05
12,7.51105,1.18766,4.26606,1.24767,0,0,0,0,1.11907,4.37388,1.08102,6.80013e-05,6.80013e-05,6.80013e-05
13,8.2027,1.32492,4.7454,1.11537,0,0,0,0,1.07882,4.31543,1.03225,7.4109e-05,7.4109e-05,7.4109e-05
14,8.85127,1.12822,4.11903,1.1586,0,0,0,0,1.07025,4.2694,0.99763,8.02043e-05,8.02043e-05,8.02043e-05
15,9.54926,1.49555,4.09786,1.30256,0,0,0,0,1.01851,4.2521,0.97015,8.62873e-05,8.62873e-05,8.62873e-05
16,10.1807,1.24879,4.40932,1.21352,0,0,0,0,1.00395,4.23718,0.95867,9.23578e-05,9.23578e-05,9.23578e-05
17,10.7722,1.09056,4.2649,1.0939,0,0,0,0,0.99288,4.20759,0.94579,9.8416e-05,9.8416e-05,9.8416e-05
18,11.3166,1.04302,4.59152,1.10549,0,0,0,0,0.99288,4.20759,0.94579,0.000104462,0.000104462,0.000104462
19,11.89,0.98886,4.17288,1.05769,0,0,0,0,0.96952,4.18786,0.93781,0.000110495,0.000110495,0.000110495
20,12.4605,1.23351,3.93183,1.21223,0,0,0,0,0.96952,4.18786,0.93781,0.000116516,0.000116516,0.000116516
21,13.1112,1.18271,3.93793,1.1011,0,0,0,0,0.97838,4.1746,0.95164,0.000122525,0.000122525,0.000122525
22,13.6489,1.25855,3.89506,1.14758,0,0,0,0,0.97838,4.1746,0.95164,0.000128521,0.000128521,0.000128521
23,14.275,0.86461,3.90233,1.06297,0,0,0,0,0.98932,4.16746,0.96005,0.000134505,0.000134505,0.000134505
24,14.8244,1.0481,4.5124,0.99056,0,0,0,0,0.98932,4.16746,0.96005,0.000140477,0.000140477,0.000140477
25,15.4143,1.07902,4.54628,1.01956,0,0,0,0,0.99113,4.15786,0.96689,0.000146436,0.000146436,0.000146436
26,15.9443,1.18548,3.70227,1.12717,0,0,0,0,0.99113,4.15786,0.96689,0.000152383,0.000152383,0.000152383
27,16.5127,1.16486,3.73863,1.14261,0,0,0,0,1.02536,4.14641,0.98288,0.000158317,0.000158317,0.000158317
28,17.0457,1.16517,3.72061,1.14406,0,0,0,0,1.02536,4.14641,0.98288,0.000164239,0.000164239,0.000164239
29,17.6125,0.9168,4.02687,1.03806,0,0,0,0,1.03858,4.13075,0.98338,0.000170149,0.000170149,0.000170149
30,18.1551,0.85469,3.69909,1.00361,0,0,0,0,1.03858,4.13075,0.98338,0.000176046,0.000176046,0.000176046
31,18.7285,1.14145,3.94805,1.15644,0,0,0,0,1.04334,4.10928,0.9858,0.000181931,0.000181931,0.000181931
32,19.2689,0.96719,4.20572,1.0766,0,0,0,0,1.04334,4.10928,0.9858,0.000187804,0.000187804,0.000187804
33,19.8365,0.97003,3.69574,1.05451,0,0,0,0,0.99487,4.08529,0.96253,0.000193664,0.000193664,0.000193664
34,20.3676,1.19105,3.37401,1.11558,0,0,0,0,0.99487,4.08529,0.96253,0.000199512,0.000199512,0.000199512
35,20.9339,0.96732,3.53254,1.05703,0,0,0,0,0.9837,4.03971,0.95484,0.000205347,0.000205347,0.000205347
36,21.4611,0.79317,3.64656,1.0053,0,0,0,0,0.9837,4.03971,0.95484,0.00021117,0.00021117,0.00021117
37,22.0328,0.9075,3.61611,1.02356,0.02223,0.21875,0.03829,0.0271,0.95195,3.98307,0.93001,0.000216981,0.000216981,0.000216981
38,22.553,0.88637,3.25868,1.02386,0.02223,0.21875,0.03829,0.0271,0.95195,3.98307,0.93001,0.000222779,0.000222779,0.000222779
39,23.1094,0.98268,3.65732,0.99112,0.04538,0.33333,0.15828,0.11349,0.9665,3.91073,0.92675,0.000228565,0.000228565,0.000228565
40,23.6357,0.95648,3.69303,1.00118,0.04538,0.33333,0.15828,0.11349,0.9665,3.91073,0.92675,0.000234339,0.000234339,0.000234339
41,24.193,1.34127,4.14722,1.03905,0.04074,0.36458,0.24984,0.16692,0.99324,3.84618,0.93123,0.0002401,0.0002401,0.0002401
42,24.7203,1.0287,3.26792,0.92161,0.04074,0.36458,0.24984,0.16692,0.99324,3.84618,0.93123,0.000245849,0.000245849,0.000245849
43,25.2916,0.9387,3.30747,1.01893,0.0527,0.5,0.30063,0.19053,0.97248,3.77436,0.9117,0.000251585,0.000251585,0.000251585
44,25.8145,1.05803,3.20611,1.07731,0.0527,0.5,0.30063,0.19053,0.97248,3.77436,0.9117,0.000257309,0.000257309,0.000257309
45,26.371,0.79684,3.57053,0.9899,0.06294,0.66667,0.34961,0.22355,0.89683,3.68569,0.88279,0.000263021,0.000263021,0.000263021
46,26.8888,0.8381,2.72495,0.96248,0.06294,0.66667,0.34961,0.22355,0.89683,3.68569,0.88279,0.00026872,0.00026872,0.00026872
47,27.4594,1.08938,4.209,0.95276,0.05895,0.58333,0.29757,0.21824,0.92782,3.56047,0.89743,0.000274407,0.000274407,0.000274407
48,27.9727,1.00959,4.0347,0.96405,0.05895,0.58333,0.29757,0.21824,0.92782,3.56047,0.89743,0.000280082,0.000280082,0.000280082
49,28.5134,0.98273,3.51776,0.96989,0.04884,0.54167,0.28599,0.21672,1.01369,3.44579,0.93697,0.000285744,0.000285744,0.000285744
50,29.0105,1.22659,2.8804,1.10539,0.04884,0.54167,0.28599,0.21672,1.01369,3.44579,0.93697,0.000291394,0.000291394,0.000291394
51,29.5593,0.98437,4.07396,0.98054,0.07423,0.66667,0.32009,0.23184,1.06472,3.33819,0.9557,0.000297031,0.000297031,0.000297031
52,30.0845,1.17676,2.88585,1.00437,0.07423,0.66667,0.32009,0.23184,1.06472,3.33819,0.9557,0.000302656,0.000302656,0.000302656
53,30.6137,0.956,2.78859,1.03656,0.07423,0.66667,0.32009,0.23184,1.06472,3.33819,0.9557,0.000308269,0.000308269,0.000308269
54,31.1713,0.94172,2.90855,0.99534,0.07334,0.70833,0.38954,0.2759,1.03182,3.21602,0.93824,0.000313869,0.000313869,0.000313869
55,31.7027,0.97713,3.24983,1.00922,0.07334,0.70833,0.38954,0.2759,1.03182,3.21602,0.93824,0.000319457,0.000319457,0.000319457
56,32.2228,1.01456,2.23565,1.04233,0.07334,0.70833,0.38954,0.2759,1.03182,3.21602,0.93824,0.000325033,0.000325033,0.000325033
57,32.788,1.13317,3.82715,0.9229,0.15857,0.75,0.42622,0.32402,0.97539,3.09049,0.91682,0.000330596,0.000330596,0.000330596
58,33.311,0.8083,2.54717,0.92208,0.15857,0.75,0.42622,0.32402,0.97539,3.09049,0.91682,0.000336147,0.000336147,0.000336147
59,33.846,0.96625,3.69132,0.9496,0.15857,0.75,0.42622,0.32402,0.97539,3.09049,0.91682,0.000341685,0.000341685,0.000341685
60,34.4119,1.0116,2.96331,0.97709,0.16933,0.875,0.44221,0.3432,0.9087,2.9769,0.88004,0.000347211,0.000347211,0.000347211
61,34.934,0.75279,2.30739,0.89535,0.16933,0.875,0.44221,0.3432,0.9087,2.9769,0.88004,0.000352725,0.000352725,0.000352725
62,35.467,0.96295,2.78486,0.96844,0.16933,0.875,0.44221,0.3432,0.9087,2.9769,0.88004,0.000358226,0.000358226,0.000358226
63,36.0182,1.08916,2.85374,1.07091,0.1812,1,0.47848,0.36134,0.81983,2.85612,0.87249,0.000363715,0.000363715,0.000363715
64,36.5367,0.68,2.23495,0.90057,0.1812,1,0.47848,0.36134,0.81983,2.85612,0.87249,0.000369192,0.000369192,0.000369192
65,37.0691,1.03295,2.83803,0.92372,0.1812,1,0.47848,0.36134,0.81983,2.85612,0.87249,0.000374656,0.000374656,0.000374656
66,37.6246,0.97704,2.18543,1.12495,0.1276,1,0.54832,0.40838,0.89058,2.75844,0.87975,0.000380108,0.000380108,0.000380108
67,38.163,0.83401,1.72496,0.93768,0.1276,1,0.54832,0.40838,0.89058,2.75844,0.87975,0.000385547,0.000385547,0.000385547
68,38.7003,0.87479,2.41092,0.98172,0.1276,1,0.54832,0.40838,0.89058,2.75844,0.87975,0.000390974,0.000390974,0.000390974
69,39.2796,1.01111,3.55051,0.90806,0.65254,0.41997,0.56488,0.4076,0.94076,2.65885,0.88989,0.000396389,0.000396389,0.000396389
70,39.8227,1.0917,2.48201,1.15892,0.65254,0.41997,0.56488,0.4076,0.94076,2.65885,0.88989,0.000401791,0.000401791,0.000401791
71,40.3576,1.15729,2.40463,1.15069,0.65254,0.41997,0.56488,0.4076,0.94076,2.65885,0.88989,0.000407181,0.000407181,0.000407181
72,40.9028,1.10683,2.51359,1.16743,0.70803,0.41923,0.64443,0.46699,0.99474,2.55583,0.90919,0.000412559,0.000412559,0.000412559
73,41.45,1.04355,2.74351,0.93695,0.70803,0.41923,0.64443,0.46699,0.99474,2.55583,0.90919,0.000417924,0.000417924,0.000417924
74,41.9894,0.99687,2.52294,1.04235,0.70803,0.41923,0.64443,0.46699,0.99474,2.55583,0.90919,0.000423277,0.000423277,0.000423277
75,42.5699,0.94897,2.53761,0.95718,0.74019,0.375,0.62321,0.45048,0.96694,2.48457,0.91006,0.000428617,0.000428617,0.000428617
76,43.0865,0.92439,2.11112,1.03895,0.74019,0.375,0.62321,0.45048,0.96694,2.48457,0.91006,0.000433945,0.000433945,0.000433945
77,43.6019,1.05736,2.1201,1.14553,0.74019,0.375,0.62321,0.45048,0.96694,2.48457,0.91006,0.000439261,0.000439261,0.000439261
78,44.1557,1.16978,2.59727,1.05068,0.72309,0.36371,0.66232,0.48172,0.87772,2.35278,0.90756,0.000444564,0.000444564,0.000444564
79,44.6918,1.07266,2.33225,1.20346,0.72309,0.36371,0.66232,0.48172,0.87772,2.35278,0.90756,0.000449855,0.000449855,0.000449855
80,45.2271,0.96248,1.8487,1.11043,0.72309,0.36371,0.66232,0.48172,0.87772,2.35278,0.90756,0.000455134,0.000455134,0.000455134
81,45.7945,0.9818,2.06816,1.11875,0.73031,0.37076,0.66079,0.4799,0.83472,2.22543,0.90295,0.0004604,0.0004604,0.0004604
82,46.2977,0.94087,1.8268,0.94552,0.73031,0.37076,0.66079,0.4799,0.83472,2.22543,0.90295,0.000465654,0.000465654,0.000465654
83,46.8096,0.87992,2.19949,1.05324,0.73031,0.37076,0.66079,0.4799,0.83472,2.22543,0.90295,0.000470895,0.000470895,0.000470895
84,47.3571,0.90116,1.36051,0.97605,0.56551,0.51935,0.6747,0.50613,0.78714,2.11319,0.91418,0.000476124,0.000476124,0.000476124
85,47.893,0.90177,1.95632,0.97043,0.56551,0.51935,0.6747,0.50613,0.78714,2.11319,0.91418,0.000481341,0.000481341,0.000481341
86,48.4311,0.84486,1.37045,0.96064,0.56551,0.51935,0.6747,0.50613,0.78714,2.11319,0.91418,0.000486545,0.000486545,0.000486545
87,48.9639,0.94172,1.88179,1.10157,0.56551,0.51935,0.6747,0.50613,0.78714,2.11319,0.91418,0.000491737,0.000491737,0.000491737
88,49.5376,0.93116,1.75939,1.08084,0.58632,0.60236,0.69567,0.53668,0.79935,1.95038,0.92285,0.000496917,0.000496917,0.000496917
89,50.0784,0.91612,1.80961,1.12092,0.58632,0.60236,0.69567,0.53668,0.79935,1.95038,0.92285,0.000502084,0.000502084,0.000502084
90,50.6371,0.98259,3.16629,0.91885,0.58632,0.60236,0.69567,0.53668,0.79935,1.95038,0.92285,0.000507239,0.000507239,0.000507239
91,51.1788,0.98872,1.89965,1.0395,0.58632,0.60236,0.69567,0.53668,0.79935,1.95038,0.92285,0.000512381,0.000512381,0.000512381
92,51.7515,0.95817,1.75748,1.01387,0.49738,0.53402,0.68109,0.53196,0.80251,1.86777,0.92606,0.000517511,0.000517511,0.000517511
93,52.2652,1.10019,1.78529,1.11022,0.49738,0.53402,0.68109,0.53196,0.80251,1.86777,0.92606,0.000522629,0.000522629,0.000522629
94,52.7724,0.98449,1.30912,1.05518,0.49738,0.53402,0.68109,0.53196,0.80251,1.86777,0.92606,0.000527734,0.000527734,0.000527734
95,53.2901,1.04591,1.68979,1.04032,0.49738,0.53402,0.68109,0.53196,0.80251,1.86777,0.92606,0.000532827,0.000532827,0.000532827
96,53.8187,1.00982,1.56987,1.14006,0.56382,0.59701,0.68077,0.48573,0.82921,1.83718,0.94301,0.000537908,0.000537908,0.000537908
97,54.3352,0.88416,1.43729,1.12533,0.56382,0.59701,0.68077,0.48573,0.82921,1.83718,0.94301,0.000542976,0.000542976,0.000542976
98,54.9348,1.02173,1.55586,0.98432,0.56382,0.59701,0.68077,0.48573,0.82921,1.83718,0.94301,0.000548032,0.000548032,0.000548032
99,55.5296,0.94022,1.51956,1.1479,0.56382,0.59701,0.68077,0.48573,0.82921,1.83718,0.94301,0.000553075,0.000553075,0.000553075
100,56.1732,0.86437,1.21031,0.99404,0.47277,0.66667,0.70616,0.51402,0.84609,1.79742,0.96896,0.000558106,0.000558106,0.000558106
101,56.8337,0.90733,1.89335,0.93765,0.47277,0.66667,0.70616,0.51402,0.84609,1.79742,0.96896,0.000563125,0.000563125,0.000563125
102,57.5126,1.16391,2.97104,1.0367,0.47277,0.66667,0.70616,0.51402,0.84609,1.79742,0.96896,0.000562506,0.000562506,0.000562506
103,58.1179,0.72819,1.20006,1.06731,0.47277,0.66667,0.70616,0.51402,0.84609,1.79742,0.96896,0.000561888,0.000561888,0.000561888
104,58.805,0.87617,1.6015,1.11865,0.53108,0.67835,0.70756,0.54201,0.81003,1.70374,0.98373,0.000561269,0.000561269,0.000561269
105,59.4523,0.81671,1.42119,1.03293,0.53108,0.67835,0.70756,0.54201,0.81003,1.70374,0.98373,0.00056065,0.00056065,0.00056065
106,60.1477,0.88093,2.19177,0.91941,0.53108,0.67835,0.70756,0.54201,0.81003,1.70374,0.98373,0.000560031,0.000560031,0.000560031
107,60.8036,0.73352,1.28239,1.02244,0.53108,0.67835,0.70756,0.54201,0.81003,1.70374,0.98373,0.000559412,0.000559412,0.000559412
108,61.554,0.69275,1.79431,0.92624,0.3875,0.79167,0.69125,0.54362,0.77155,1.65581,0.98094,0.000558794,0.000558794,0.000558794
109,62.3158,0.85918,2.51332,0.91478,0.3875,0.79167,0.69125,0.54362,0.77155,1.65581,0.98094,0.000558175,0.000558175,0.000558175
110,62.9418,1.04244,1.57094,1.01947,0.3875,0.79167,0.69125,0.54362,0.77155,1.65581,0.98094,0.000557556,0.000557556,0.000557556
111,63.543,0.93832,1.42574,0.98998,0.3875,0.79167,0.69125,0.54362,0.77155,1.65581,0.98094,0.000556938,0.000556938,0.000556938
112,64.1871,1.09764,1.90021,1.04524,0.41532,0.74666,0.70349,0.56401,0.74264,1.64831,0.97213,0.000556319,0.000556319,0.000556319
113,64.8174,0.68272,1.0874,0.93945,0.41532,0.74666,0.70349,0.56401,0.74264,1.64831,0.97213,0.0005557,0.0005557,0.0005557
114,65.4381,0.69147,0.989,0.93911,0.41532,0.74666,0.70349,0.56401,0.74264,1.64831,0.97213,0.000555081,0.000555081,0.000555081
115,66.0648,0.95728,1.58925,0.92274,0.41532,0.74666,0.70349,0.56401,0.74264,1.64831,0.97213,0.000554462,0.000554462,0.000554462
116,66.7232,0.89736,1.15062,1.11612,0.39949,0.65438,0.72969,0.58096,0.72077,1.59613,0.95521,0.000553844,0.000553844,0.000553844
117,67.3436,0.73548,1.24715,1.01892,0.39949,0.65438,0.72969,0.58096,0.72077,1.59613,0.95521,0.000553225,0.000553225,0.000553225
118,67.9898,0.95255,2.09476,0.95948,0.39949,0.65438,0.72969,0.58096,0.72077,1.59613,0.95521,0.000552606,0.000552606,0.000552606
119,68.6136,0.8364,1.73188,0.95482,0.39949,0.65438,0.72969,0.58096,0.72077,1.59613,0.95521,0.000551987,0.000551987,0.000551987
120,69.2624,0.84166,1.26214,1.0637,0.40348,0.73566,0.74927,0.60153,0.71807,1.53413,0.95063,0.000551369,0.000551369,0.000551369
121,69.8805,0.70373,1.04384,0.98465,0.40348,0.73566,0.74927,0.60153,0.71807,1.53413,0.95063,0.00055075,0.00055075,0.00055075
122,70.4985,0.66507,1.07018,0.92629,0.40348,0.73566,0.74927,0.60153,0.71807,1.53413,0.95063,0.000550131,0.000550131,0.000550131
123,71.1107,0.65241,1.02602,0.85331,0.40348,0.73566,0.74927,0.60153,0.71807,1.53413,0.95063,0.000549513,0.000549513,0.000549513
124,71.7382,0.64555,1.10488,0.99896,0.45018,0.73357,0.80295,0.64563,0.77377,1.4648,0.96345,0.000548894,0.000548894,0.000548894
125,72.3617,0.92999,1.71382,0.89712,0.45018,0.73357,0.80295,0.64563,0.77377,1.4648,0.96345,0.000548275,0.000548275,0.000548275
126,72.9764,0.90956,1.40094,1.02898,0.45018,0.73357,0.80295,0.64563,0.77377,1.4648,0.96345,0.000547656,0.000547656,0.000547656
127,73.5961,0.96993,1.70381,1.08672,0.45018,0.73357,0.80295,0.64563,0.77377,1.4648,0.96345,0.000547038,0.000547038,0.000547038
128,74.2585,0.85834,1.13922,1.09667,0.61605,0.78771,0.85819,0.69108,0.81272,1.44844,0.98652,0.000546419,0.000546419,0.000546419
129,74.8671,0.98774,1.54564,1.09001,0.61605,0.78771,0.85819,0.69108,0.81272,1.44844,0.98652,0.0005458,0.0005458,0.0005458
130,75.5046,0.87843,1.3428,0.95341,0.61605,0.78771,0.85819,0.69108,0.81272,1.44844,0.98652,0.000545181,0.000545181,0.000545181
131,77.0305,0.72831,1.02832,0.99076,0.61605,0.78771,0.85819,0.69108,0.81272,1.44844,0.98652,0.000544563,0.000544563,0.000544563
132,78.2976,0.89095,1.5128,1.02782,0.78057,0.68098,0.87596,0.70386,0.75477,1.39917,0.98359,0.000543944,0.000543944,0.000543944
133,78.9238,1.12781,2.09078,0.95125,0.78057,0.68098,0.87596,0.70386,0.75477,1.39917,0.98359,0.000543325,0.000543325,0.000543325
134,79.5614,0.78708,1.42787,0.93133,0.78057,0.68098,0.87596,0.70386,0.75477,1.39917,0.98359,0.000542706,0.000542706,0.000542706
135,80.1966,0.94766,1.71029,0.90928,0.78057,0.68098,0.87596,0.70386,0.75477,1.39917,0.98359,0.000542087,0.000542087,0.000542087
136,80.8555,0.62664,0.91124,0.9534,0.78789,0.68271,0.87524,0.68222,0.75075,1.42332,0.98187,0.000541469,0.000541469,0.000541469
137,81.451,0.70935,1.0974,1.0548,0.78789,0.68271,0.87524,0.68222,0.75075,1.42332,0.98187,0.00054085,0.00054085,0.00054085
138,82.0581,0.84787,1.29524,0.94484,0.78789,0.68271,0.87524,0.68222,0.75075,1.42332,0.98187,0.000540231,0.000540231,0.000540231
139,82.6636,0.77085,0.99638,1.0672,0.78789,0.68271,0.87524,0.68222,0.75075,1.42332,0.98187,0.000539613,0.000539613,0.000539613
140,83.2961,0.79723,1.36793,0.9654,0.60561,0.8189,0.85518,0.66532,0.75722,1.33665,0.971,0.000538994,0.000538994,0.000538994
141,83.9073,1.15362,1.91685,0.89111,0.60561,0.8189,0.85518,0.66532,0.75722,1.33665,0.971,0.000538375,0.000538375,0.000538375
142,84.5297,1.02749,1.8146,0.9284,0.60561,0.8189,0.85518,0.66532,0.75722,1.33665,0.971,0.000537756,0.000537756,0.000537756
143,85.1211,0.63962,0.84892,0.97676,0.60561,0.8189,0.85518,0.66532,0.75722,1.33665,0.971,0.000537137,0.000537137,0.000537137
144,85.7548,0.71906,0.986,0.99512,0.57317,0.92461,0.85938,0.67478,0.72935,1.20062,0.9592,0.000536519,0.000536519,0.000536519
145,86.3583,0.9184,1.2178,0.89226,0.57317,0.92461,0.85938,0.67478,0.72935,1.20062,0.9592,0.0005359,0.0005359,0.0005359
146,87.3042,0.67462,0.83869,0.85135,0.57317,0.92461,0.85938,0.67478,0.72935,1.20062,0.9592,0.000535281,0.000535281,0.000535281
